#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
60.jfif,46659,{},1,0,"{""name"":""rect"",""x"":178,""y"":170,""width"":275,""height"":130}","{""Damage"":""1""}"
65.jfif,53289,{},1,0,"{""name"":""rect"",""x"":311,""y"":197,""width"":284,""height"":199}","{""Damage"":""1""}"
67.jfif,41116,{},1,0,"{""name"":""rect"",""x"":131,""y"":165,""width"":121,""height"":122}","{""Damage"":""1""}"
69.jfif,63030,{},1,0,"{""name"":""rect"",""x"":362,""y"":181,""width"":97,""height"":77}","{""Damage"":""1""}"
75.jfif,56078,{},1,0,"{""name"":""rect"",""x"":50,""y"":173,""width"":118,""height"":104}","{""Damage"":""1""}"
78.jfif,58429,{},1,0,"{""name"":""rect"",""x"":200,""y"":228,""width"":239,""height"":163}","{""Damage"":""1""}"
79.jfif,60147,{},1,0,"{""name"":""rect"",""x"":291,""y"":222,""width"":99,""height"":74}","{""Damage"":""1""}"
81.jfif,43066,{},1,0,"{""name"":""rect"",""x"":164,""y"":171,""width"":188,""height"":71}","{""Damage"":""1""}"
83.jfif,70964,{},2,0,"{""name"":""rect"",""x"":194,""y"":61,""width"":273,""height"":117}","{""Damage"":""1""}"
83.jfif,70964,{},2,1,"{""name"":""rect"",""x"":521,""y"":160,""width"":55,""height"":64}","{""Damage"":""1""}"
85.jfif,62745,{},2,0,"{""name"":""rect"",""x"":241,""y"":84,""width"":251,""height"":115}","{""Damage"":""1""}"
85.jfif,62745,{},2,1,"{""name"":""rect"",""x"":22,""y"":175,""width"":460,""height"":201}","{""Damage"":""1""}"
86.jfif,61580,{},2,0,"{""name"":""rect"",""x"":174,""y"":55,""width"":270,""height"":82}","{""Damage"":""1""}"
86.jfif,61580,{},2,1,"{""name"":""rect"",""x"":298,""y"":147,""width"":142,""height"":128}","{""Damage"":""1""}"
91.jfif,56264,{},1,0,"{""name"":""rect"",""x"":357,""y"":84,""width"":252,""height"":259}","{""Damage"":""1""}"
92.jfif,46642,{},2,0,"{""name"":""rect"",""x"":449,""y"":226,""width"":68,""height"":47}","{""Damage"":""1""}"
92.jfif,46642,{},2,1,"{""name"":""rect"",""x"":275,""y"":233,""width"":112,""height"":69}","{""Damage"":""1""}"
93.jfif,56765,{},1,0,"{""name"":""rect"",""x"":272,""y"":81,""width"":209,""height"":93}","{""Damage"":""1""}"
95.jfif,36919,{},1,0,"{""name"":""rect"",""x"":88,""y"":191,""width"":218,""height"":133}","{""Damage"":""1""}"
96.jfif,47789,{},2,0,"{""name"":""rect"",""x"":324,""y"":94,""width"":201,""height"":97}","{""Damage"":""1""}"
96.jfif,47789,{},2,1,"{""name"":""rect"",""x"":269,""y"":253,""width"":153,""height"":101}","{""Damage"":""1""}"
101.jfif,37529,{},1,0,"{""name"":""rect"",""x"":91,""y"":169,""width"":263,""height"":137}","{""Damage"":""1""}"
103.jfif,54587,{},1,0,"{""name"":""rect"",""x"":90,""y"":55,""width"":246,""height"":114}","{""Damage"":""1""}"
104.jfif,48264,{},1,0,"{""name"":""rect"",""x"":98,""y"":112,""width"":38,""height"":42}","{""Damage"":""1""}"
105.jfif,54258,{},1,0,"{""name"":""rect"",""x"":572,""y"":188,""width"":30,""height"":73}","{""Damage"":""1""}"
107.jfif,70580,{},2,0,"{""name"":""rect"",""x"":257,""y"":59,""width"":214,""height"":79}","{""Damage"":""1""}"
107.jfif,70580,{},2,1,"{""name"":""rect"",""x"":485,""y"":153,""width"":61,""height"":70}","{""Damage"":""1""}"
109.jfif,74675,{},1,0,"{""name"":""rect"",""x"":212,""y"":107,""width"":389,""height"":263}","{""Damage"":""1""}"
112.jfif,55740,{},1,0,"{""name"":""rect"",""x"":2,""y"":1,""width"":636,""height"":89}","{""damage"":""1""}"
113.jfif,50803,{},1,0,"{""name"":""rect"",""x"":30,""y"":162,""width"":37,""height"":34}","{""damage"":""1""}"
114.jfif,63000,{},6,0,"{""name"":""rect"",""x"":35,""y"":254,""width"":277,""height"":175}","{""damage"":""1""}"
114.jfif,63000,{},6,1,"{""name"":""rect"",""x"":215,""y"":206,""width"":194,""height"":45}","{""damage"":""1""}"
114.jfif,63000,{},6,2,"{""name"":""rect"",""x"":361,""y"":254,""width"":37,""height"":52}","{""damage"":""1""}"
114.jfif,63000,{},6,3,"{""name"":""rect"",""x"":427,""y"":279,""width"":17,""height"":75}","{""damage"":""1""}"
114.jfif,63000,{},6,4,"{""name"":""rect"",""x"":412,""y"":226,""width"":29,""height"":36}","{""damage"":""1""}"
114.jfif,63000,{},6,5,"{""name"":""rect"",""x"":314,""y"":255,""width"":47,""height"":77}","{""damage"":""1""}"
115.jfif,40615,{},2,0,"{""name"":""rect"",""x"":282,""y"":190,""width"":92,""height"":78}","{""damage"":""1""}"
115.jfif,40615,{},2,1,"{""name"":""rect"",""x"":274,""y"":110,""width"":150,""height"":28}","{""damage"":""1""}"
117.jfif,35062,{},5,0,"{""name"":""rect"",""x"":293,""y"":271,""width"":156,""height"":65}","{""damage"":""1""}"
117.jfif,35062,{},5,1,"{""name"":""rect"",""x"":325,""y"":340,""width"":121,""height"":71}","{""damage"":""1""}"
117.jfif,35062,{},5,2,"{""name"":""rect"",""x"":445,""y"":331,""width"":36,""height"":41}","{""damage"":""1""}"
117.jfif,35062,{},5,3,"{""name"":""rect"",""x"":450,""y"":268,""width"":29,""height"":40}","{""damage"":""1""}"
117.jfif,35062,{},5,4,"{""name"":""rect"",""x"":276,""y"":250,""width"":30,""height"":28}","{""damage"":""1""}"
119.jfif,40211,{},2,0,"{""name"":""polygon"",""all_points_x"":[170,198,209,222,222,224,215,209,213,176,163,164,161,170],""all_points_y"":[185,164,154,160,190,310,310,214,193,229,218,218,200,185]}","{""damage"":""1""}"
119.jfif,40211,{},2,1,"{""name"":""polygon"",""all_points_x"":[37,46,42,79,92,62,58,41,37],""all_points_y"":[150,156,188,197,180,161,144,139,150]}","{""damage"":""1""}"
120.jfif,65528,{},4,0,"{""name"":""rect"",""x"":226,""y"":45,""width"":323,""height"":115}","{""damage"":""1""}"
120.jfif,65528,{},4,1,"{""name"":""rect"",""x"":553,""y"":76,""width"":65,""height"":105}","{""damage"":""1""}"
120.jfif,65528,{},4,2,"{""name"":""polygon"",""all_points_x"":[1,2,123,259,622,639,638,603,582,552,493,366,343,314,287,129,90,44,0,2,1],""all_points_y"":[302,386,438,471,478,427,234,184,186,224,258,255,278,280,270,258,276,282,275,276,302]}","{""damage"":""1""}"
120.jfif,65528,{},4,3,"{""name"":""polygon"",""all_points_x"":[42,45,13,2,5,35,129,171,212,221,223,236,241,211,208,191,188,180,155,163,107,93,42],""all_points_y"":[218,252,272,265,236,206,105,74,54,54,144,140,258,259,223,224,142,134,130,150,200,201,218]}","{""damage"":""1""}"
122.jfif,46399,{},2,0,"{""name"":""polygon"",""all_points_x"":[229,249,283,337,317,336,369,347,229],""all_points_y"":[1,179,198,193,78,80,58,4,1]}","{""damage"":""1""}"
122.jfif,46399,{},2,1,"{""name"":""polygon"",""all_points_x"":[384,373,393,371,371,397,365,352,389,409,447,468,533,557,549,519,384],""all_points_y"":[91,106,121,158,181,186,202,213,276,301,292,226,183,159,146,144,91]}","{""damage"":""1""}"
123.jfif,41930,{},1,0,"{""name"":""polygon"",""all_points_x"":[67,241,231,309,325,505,530,531,563,583,571,513,450,435,405,449,387,325,272,219,181,183,148,67],""all_points_y"":[158,168,131,124,102,106,183,289,267,268,327,362,330,318,381,425,454,381,369,339,352,351,325,158]}","{""damage"":""1""}"
124.jfif,41754,{},1,0,"{""name"":""polygon"",""all_points_x"":[79,163,323,354,249,133,79],""all_points_y"":[175,197,206,209,174,165,175]}","{""damage"":""1""}"
125.jfif,43299,{},2,0,"{""name"":""polygon"",""all_points_x"":[374,419,424,447,453,438,437,400,375,385,374],""all_points_y"":[219,206,232,226,248,272,272,292,267,231,219]}","{""damage"":""1""}"
125.jfif,43299,{},2,1,"{""name"":""polygon"",""all_points_x"":[523,547,561,561,549,541,523],""all_points_y"":[178,205,199,198,164,158,178]}","{""damage"":""1""}"
128.jfif,70108,{},5,0,"{""name"":""polygon"",""all_points_x"":[559,547,551,577,571,559],""all_points_y"":[318,332,338,328,312,318]}","{""damage"":""1""}"
128.jfif,70108,{},5,1,"{""name"":""polygon"",""all_points_x"":[461,469,503,500,485,461],""all_points_y"":[328,358,360,344,326,328]}","{""damage"":""1""}"
128.jfif,70108,{},5,2,"{""name"":""polygon"",""all_points_x"":[179,172,185,191,187,179],""all_points_y"":[169,194,296,293,172,169]}","{""damage"":""1""}"
128.jfif,70108,{},5,3,"{""name"":""polygon"",""all_points_x"":[159,115,113,155,163,159],""all_points_y"":[160,156,138,130,149,160]}","{""damage"":""1""}"
128.jfif,70108,{},5,4,"{""name"":""polygon"",""all_points_x"":[177,205,207,294,403,386,333,269,203,177],""all_points_y"":[88,147,148,145,134,116,82,79,78,88]}","{""damage"":""1""}"
129.jfif,44951,{},1,0,"{""name"":""polygon"",""all_points_x"":[269,301,303,257,269],""all_points_y"":[378,371,390,398,378]}","{""damage"":""1""}"
131.jfif,47167,{},3,0,"{""name"":""polygon"",""all_points_x"":[417,417,417,415,475,475,474,417],""all_points_y"":[304,320,360,360,340,304,306,304]}","{""damage"":""1""}"
131.jfif,47167,{},3,1,"{""name"":""polygon"",""all_points_x"":[339,343,382,376,339],""all_points_y"":[353,379,379,363,353]}","{""damage"":""1""}"
131.jfif,47167,{},3,2,"{""name"":""polygon"",""all_points_x"":[105,96,75,75,65,76,87,105],""all_points_y"":[212,178,180,182,206,241,241,212]}","{""damage"":""1""}"
132.jfif,55384,{},4,0,"{""name"":""rect"",""x"":62,""y"":180,""width"":110,""height"":116}","{""damage"":""1""}"
132.jfif,55384,{},4,1,"{""name"":""rect"",""x"":387,""y"":114,""width"":134,""height"":60}","{""damage"":""1""}"
132.jfif,55384,{},4,2,"{""name"":""rect"",""x"":293,""y"":132,""width"":145,""height"":139}","{""damage"":""1""}"
132.jfif,55384,{},4,3,"{""name"":""polygon"",""all_points_x"":[197,268,303,289,171,197],""all_points_y"":[270,294,260,154,220,270]}","{""damage"":""1""}"
134.jfif,50245,{},1,0,"{""name"":""polygon"",""all_points_x"":[526,514,507,547,551,553,533,542,526],""all_points_y"":[274,299,307,313,301,300,296,271,274]}","{""damage"":""1""}"
135.jfif,62251,{},1,0,"{""name"":""rect"",""x"":48,""y"":370,""width"":588,""height"":106}","{""damage"":""1""}"
136.jfif,45165,{},5,0,"{""name"":""rect"",""x"":225,""y"":360,""width"":379,""height"":115}","{""damage"":""1""}"
136.jfif,45165,{},5,1,"{""name"":""polygon"",""all_points_x"":[61,59,139,169,166,61],""all_points_y"":[359,408,433,431,381,359]}","{""damage"":""1""}"
136.jfif,45165,{},5,2,"{""name"":""polygon"",""all_points_x"":[457,592,633,637,636,609,607,463,457],""all_points_y"":[347,290,305,405,410,447,356,355,347]}","{""damage"":""1""}"
136.jfif,45165,{},5,3,"{""name"":""rect"",""x"":164,""y"":363,""width"":59,""height"":43}","{""damage"":""1""}"
136.jfif,45165,{},5,4,"{""name"":""polygon"",""all_points_x"":[19,59,57,50,1,19],""all_points_y"":[288,348,408,408,376,288]}","{""damage"":""1""}"
137.jfif,37096,{},3,0,"{""name"":""polygon"",""all_points_x"":[117,121,164,117],""all_points_y"":[92,138,130,92]}","{""damage"":""1""}"
137.jfif,37096,{},3,1,"{""name"":""polygon"",""all_points_x"":[71,165,223,223,71,66,83,39,71],""all_points_y"":[145,340,352,364,358,327,330,190,145]}","{""damage"":""1""}"
137.jfif,37096,{},3,2,"{""name"":""polygon"",""all_points_x"":[259,329,389,383,401,621,617,535,461,419,170,75,165,229,259],""all_points_y"":[352,340,336,336,305,190,191,120,80,72,128,140,334,351,352]}","{""damage"":""1""}"
138.jfif,41971,{},2,0,"{""name"":""polygon"",""all_points_x"":[273,225,177,175,157,130,58,9,81,135,206,193,201,201,207,219,225,217,242,261,273],""all_points_y"":[98,160,172,198,196,182,197,220,164,174,117,78,72,69,92,141,128,96,104,89,98]}","{""damage"":""1""}"
138.jfif,41971,{},2,1,"{""name"":""polygon"",""all_points_x"":[174,183,151,127,106,174],""all_points_y"":[90,108,139,154,138,90]}","{""damage"":""1""}"
139.jfif,61647,{},2,0,"{""name"":""polygon"",""all_points_x"":[0,253,303,364,552,561,183,2,0],""all_points_y"":[121,91,44,36,153,210,223,157,121]}","{""damage"":""1""}"
139.jfif,61647,{},2,1,"{""name"":""polygon"",""all_points_x"":[3,175,529,577,563,639,639,627,478,408,409,380,327,211,211,76,20,2,3],""all_points_y"":[165,227,218,211,198,154,332,362,427,398,382,368,394,477,479,479,456,458,165]}","{""damage"":""1""}"
140.jfif,56090,{},2,0,"{""name"":""rect"",""x"":197,""y"":273,""width"":317,""height"":155}","{""damage"":""1""}"
140.jfif,56090,{},2,1,"{""name"":""rect"",""x"":0,""y"":17,""width"":611,""height"":51}","{""damage"":""1""}"
141.jfif,56827,{},2,0,"{""name"":""rect"",""x"":519,""y"":188,""width"":29,""height"":77}","{""damage"":""1""}"
141.jfif,56827,{},2,1,"{""name"":""rect"",""x"":563,""y"":173,""width"":21,""height"":37}","{""damage"":""1""}"
144.jfif,44775,{},2,0,"{""name"":""polygon"",""all_points_x"":[414,416,379,363,393,353,356,321,269,252,308,367,381,384,371,405,443,456,451,479,498,548,509,465,455,414],""all_points_y"":[214,272,210,210,270,239,240,259,257,348,369,358,376,376,400,412,368,380,400,445,446,398,310,273,211,214]}","{""damage"":""1""}"
144.jfif,44775,{},2,1,"{""name"":""polygon"",""all_points_x"":[179,268,271,345,371,370,290,217,179],""all_points_y"":[324,371,404,408,384,368,368,328,324]}","{""damage"":""1""}"
146.jfif,41760,{},2,0,"{""name"":""polygon"",""all_points_x"":[261,281,317,337,307,275,261],""all_points_y"":[340,331,336,368,370,369,340]}","{""damage"":""1""}"
146.jfif,41760,{},2,1,"{""name"":""polygon"",""all_points_x"":[69,103,126,80,69],""all_points_y"":[235,222,192,190,235]}","{""damage"":""1""}"
147.jfif,58838,{},4,0,"{""name"":""rect"",""x"":237,""y"":182,""width"":174,""height"":96}","{""damage"":""1""}"
147.jfif,58838,{},4,1,"{""name"":""rect"",""x"":265,""y"":292,""width"":296,""height"":96}","{""damage"":""1""}"
147.jfif,58838,{},4,2,"{""name"":""rect"",""x"":413,""y"":228,""width"":187,""height"":78}","{""damage"":""1""}"
147.jfif,58838,{},4,3,"{""name"":""rect"",""x"":467,""y"":167,""width"":118,""height"":63}","{""damage"":""1""}"
148.jfif,39438,{},2,0,"{""name"":""rect"",""x"":171,""y"":135,""width"":92,""height"":61}","{""damage"":""1""}"
148.jfif,39438,{},2,1,"{""name"":""rect"",""x"":275,""y"":123,""width"":204,""height"":60}","{""damage"":""1""}"
149.jfif,71314,{},1,0,"{""name"":""rect"",""x"":525,""y"":95,""width"":79,""height"":127}","{""damage"":""1""}"
150.jfif,68828,{},2,0,"{""name"":""rect"",""x"":3,""y"":126,""width"":445,""height"":252}","{""damage"":""1""}"
150.jfif,68828,{},2,1,"{""name"":""rect"",""x"":89,""y"":16,""width"":530,""height"":175}","{""damage"":""1""}"
151.jfif,48615,{},5,0,"{""name"":""rect"",""x"":274,""y"":288,""width"":296,""height"":116}","{""damage"":""1""}"
151.jfif,48615,{},5,1,"{""name"":""rect"",""x"":270,""y"":127,""width"":196,""height"":65}","{""damage"":""1""}"
151.jfif,48615,{},5,2,"{""name"":""rect"",""x"":349,""y"":94,""width"":239,""height"":119}","{""damage"":""1""}"
151.jfif,48615,{},5,3,"{""name"":""rect"",""x"":142,""y"":226,""width"":65,""height"":110}","{""damage"":""1""}"
151.jfif,48615,{},5,4,"{""name"":""rect"",""x"":424,""y"":218,""width"":99,""height"":66}","{""damage"":""1""}"
152.jfif,60721,{},2,0,"{""name"":""rect"",""x"":71,""y"":221,""width"":75,""height"":68}","{""damage"":""1""}"
152.jfif,60721,{},2,1,"{""name"":""rect"",""x"":129,""y"":279,""width"":103,""height"":17}","{""damage"":""1""}"
153.jfif,53085,{},2,0,"{""name"":""rect"",""x"":101,""y"":224,""width"":75,""height"":90}","{""damage"":""1""}"
153.jfif,53085,{},2,1,"{""name"":""rect"",""x"":76,""y"":260,""width"":35,""height"":46}","{""damage"":""1""}"
154.jfif,51466,{},2,0,"{""name"":""rect"",""x"":458,""y"":170,""width"":34,""height"":140}","{""damage"":""1""}"
154.jfif,51466,{},2,1,"{""name"":""rect"",""x"":520,""y"":172,""width"":41,""height"":35}","{""damage"":""1""}"
155.jfif,68029,{},1,0,"{""name"":""rect"",""x"":286,""y"":64,""width"":203,""height"":51}","{""damage"":""1""}"
157.jfif,52244,{},8,0,"{""name"":""rect"",""x"":229,""y"":232,""width"":132,""height"":83}","{""damage"":""1""}"
157.jfif,52244,{},8,1,"{""name"":""rect"",""x"":95,""y"":165,""width"":42,""height"":95}","{""damage"":""1""}"
157.jfif,52244,{},8,2,"{""name"":""rect"",""x"":61,""y"":154,""width"":36,""height"":40}","{""damage"":""1""}"
157.jfif,52244,{},8,3,"{""name"":""rect"",""x"":47,""y"":183,""width"":22,""height"":44}","{""damage"":""1""}"
157.jfif,52244,{},8,4,"{""name"":""rect"",""x"":135,""y"":100,""width"":30,""height"":60}","{""damage"":""1""}"
157.jfif,52244,{},8,5,"{""name"":""rect"",""x"":225,""y"":94,""width"":202,""height"":57}","{""damage"":""1""}"
157.jfif,52244,{},8,6,"{""name"":""rect"",""x"":273,""y"":156,""width"":166,""height"":174}","{""damage"":""1""}"
157.jfif,52244,{},8,7,"{""name"":""polygon"",""all_points_x"":[553,553,443,408,327,313,525,541,539,465,519,552,553],""all_points_y"":[278,278,324,186,158,140,145,168,167,221,264,256,278]}","{""damage"":""1""}"
158.jfif,67704,{},1,0,"{""name"":""rect"",""x"":41,""y"":194,""width"":583,""height"":193}","{""damage"":""1""}"
159.jfif,70491,{},1,0,"{""name"":""rect"",""x"":92,""y"":302,""width"":529,""height"":138}","{""damage"":""1""}"
164.jfif,46218,{},2,0,"{""name"":""polygon"",""all_points_x"":[67,67,181,248,237,36,67],""all_points_y"":[112,112,148,183,245,134,112]}","{""damage"":""1""}"
164.jfif,46218,{},2,1,"{""name"":""polygon"",""all_points_x"":[387,3,2,220,387],""all_points_y"":[48,123,53,29,48]}","{""damage"":""1""}"
165.jfif,36662,{},3,0,"{""name"":""rect"",""x"":203,""y"":164,""width"":118,""height"":81}","{""damage"":""1""}"
165.jfif,36662,{},3,1,"{""name"":""polygon"",""all_points_x"":[57,196,363,293,157,75,57],""all_points_y"":[193,479,478,309,278,187,193]}","{""damage"":""1""}"
165.jfif,36662,{},3,2,"{""name"":""polygon"",""all_points_x"":[301,635,638,637,367,301],""all_points_y"":[324,187,477,475,475,324]}","{""damage"":""1""}"
167.jfif,44794,{},4,0,"{""name"":""rect"",""x"":241,""y"":406,""width"":175,""height"":72}","{""damage"":""1""}"
167.jfif,44794,{},4,1,"{""name"":""rect"",""x"":292,""y"":247,""width"":15,""height"":17}","{""damage"":""1""}"
167.jfif,44794,{},4,2,"{""name"":""rect"",""x"":264,""y"":334,""width"":43,""height"":62}","{""damage"":""1""}"
167.jfif,44794,{},4,3,"{""name"":""rect"",""x"":558,""y"":128,""width"":15,""height"":18}","{""damage"":""1""}"
169.jfif,58299,{},7,0,"{""name"":""rect"",""x"":347,""y"":160,""width"":50,""height"":69}","{""damage"":""1""}"
169.jfif,58299,{},7,1,"{""name"":""rect"",""x"":392,""y"":110,""width"":77,""height"":28}","{""damage"":""1""}"
169.jfif,58299,{},7,2,"{""name"":""rect"",""x"":403,""y"":139,""width"":115,""height"":79}","{""damage"":""1""}"
169.jfif,58299,{},7,3,"{""name"":""rect"",""x"":518,""y"":117,""width"":67,""height"":87}","{""damage"":""1""}"
169.jfif,58299,{},7,4,"{""name"":""rect"",""x"":373,""y"":256,""width"":40,""height"":52}","{""damage"":""1""}"
169.jfif,58299,{},7,5,"{""name"":""rect"",""x"":472,""y"":113,""width"":46,""height"":26}","{""damage"":""1""}"
169.jfif,58299,{},7,6,"{""name"":""polygon"",""all_points_x"":[233,334,371,424,371,323,277,201,233],""all_points_y"":[123,82,58,26,24,34,49,114,123]}","{""damage"":""1""}"
171.jfif,45408,{},1,0,"{""name"":""rect"",""x"":296,""y"":226,""width"":67,""height"":111}","{""damage"":""1""}"
174.jfif,39625,{},2,0,"{""name"":""rect"",""x"":383,""y"":216,""width"":58,""height"":179}","{""damage"":""1""}"
174.jfif,39625,{},2,1,"{""name"":""rect"",""x"":333,""y"":316,""width"":47,""height"":86}","{""damage"":""1""}"
175.jfif,44349,{},2,0,"{""name"":""rect"",""x"":23,""y"":109,""width"":132,""height"":63}","{""damage"":""1""}"
175.jfif,44349,{},2,1,"{""name"":""rect"",""x"":408,""y"":124,""width"":231,""height"":58}","{""damage"":""1""}"
176.jfif,58817,{},1,0,"{""name"":""rect"",""x"":198,""y"":86,""width"":185,""height"":86}","{""damage"":""1""}"
179.jfif,65455,{},1,0,"{""name"":""rect"",""x"":104,""y"":22,""width"":421,""height"":103}","{""damage"":""1""}"
181.jfif,59086,{},8,0,"{""name"":""rect"",""x"":336,""y"":159,""width"":78,""height"":47}","{""damage"":""1""}"
181.jfif,59086,{},8,1,"{""name"":""rect"",""x"":318,""y"":116,""width"":36,""height"":39}","{""damage"":""1""}"
181.jfif,59086,{},8,2,"{""name"":""rect"",""x"":409,""y"":132,""width"":51,""height"":124}","{""damage"":""1""}"
181.jfif,59086,{},8,3,"{""name"":""rect"",""x"":416,""y"":270,""width"":118,""height"":204}","{""damage"":""1""}"
181.jfif,59086,{},8,4,"{""name"":""rect"",""x"":147,""y"":172,""width"":284,""height"":201}","{""damage"":""1""}"
181.jfif,59086,{},8,5,"{""name"":""rect"",""x"":94,""y"":244,""width"":75,""height"":75}","{""damage"":""1""}"
181.jfif,59086,{},8,6,"{""name"":""rect"",""x"":137,""y"":164,""width"":24,""height"":81}","{""damage"":""1""}"
181.jfif,59086,{},8,7,"{""name"":""rect"",""x"":433,""y"":217,""width"":78,""height"":62}","{""damage"":""1""}"
182.jfif,51293,{},4,0,"{""name"":""rect"",""x"":176,""y"":250,""width"":165,""height"":91}","{""damage"":""1""}"
182.jfif,51293,{},4,1,"{""name"":""rect"",""x"":85,""y"":304,""width"":140,""height"":74}","{""damage"":""1""}"
182.jfif,51293,{},4,2,"{""name"":""rect"",""x"":30,""y"":280,""width"":55,""height"":68}","{""damage"":""1""}"
182.jfif,51293,{},4,3,"{""name"":""rect"",""x"":609,""y"":122,""width"":18,""height"":65}","{""damage"":""1""}"
183.jfif,57031,{},2,0,"{""name"":""rect"",""x"":145,""y"":102,""width"":164,""height"":24}","{""damage"":""1""}"
183.jfif,57031,{},2,1,"{""name"":""rect"",""x"":237,""y"":71,""width"":150,""height"":43}","{""damage"":""1""}"
185.jfif,53598,{},1,0,"{""name"":""rect"",""x"":97,""y"":112,""width"":63,""height"":81}","{""damage"":""1""}"
187.jfif,56897,{},1,0,"{""name"":""rect"",""x"":32,""y"":171,""width"":55,""height"":82}","{""damage"":""1""}"
190.jfif,37192,{},1,0,"{""name"":""rect"",""x"":503,""y"":217,""width"":29,""height"":67}","{""damage"":""1""}"
191.jfif,57808,{},6,0,"{""name"":""rect"",""x"":283,""y"":351,""width"":229,""height"":127}","{""damage"":""1""}"
191.jfif,57808,{},6,1,"{""name"":""rect"",""x"":317,""y"":135,""width"":93,""height"":55}","{""damage"":""1""}"
191.jfif,57808,{},6,2,"{""name"":""rect"",""x"":365,""y"":116,""width"":162,""height"":239}","{""damage"":""1""}"
191.jfif,57808,{},6,3,"{""name"":""rect"",""x"":520,""y"":130,""width"":94,""height"":222}","{""damage"":""1""}"
